item_code,item_name,famille,sous_famille,sous_famille_code,nouveau_code,nouvelle_description
100800078,U SEAL 53x63x6.5,ME,ME-JO,JO,ME-JO-053-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800083,RELAY OF THE CHILLER XJ3-G,EL,EL-RE,RE,EL-RE-REL-002,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
100800093,RETURN LINE FILTER D332-186 WI,HY,HY-FI,FI,HY-FI-RET-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800096,2FT*2FT TUBLIGHT FIXTURE 4*20W 220 AC FALSECEILING FIXTURE FOR CLEAN ROOMS LIGHTING,SE,SE-EC,EC,SE-EC-004-001,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
100800097,REXROTH  AC DRIVE B011-15K0-3P 4-MN4 FRENQUENCY CONVERTER FB ARA 8,IN,IN-VA,VA,IN-VA-REX-001,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
100800101,"CYLINDER HEATER BAND K07-1 (W1000, V230) - TAV 8A",HY,HY-VE,VE,HY-VE-CYL-001,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800102,"CYLINDER HEATER BAND K07-2 (W1000, V230) - TAV 8A",HY,HY-VE,VE,HY-VE-CYL-002,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800104,"CYLINDER HEATER BAND ASSBLY  WITH FAN (REF.6, TAV-8)",HY,HY-VE,VE,HY-VE-CYL-003,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800105,EXTRUDER CYLINDER COOLING FAN (U112),HY,HY-VE,VE,HY-VE-CYL-004,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800106,THERMOCOUPLE FOR EXTRUDER CYLI CYLINDER (TAV 8),HY,HY-VE,VE,HY-VE-CYL-005,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800117,THERMOCOUPLE FOR DIE (TAV16) TAV 16,IN,IN-TH,TH,IN-TH-THE-001,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800118,THERMOCOUPLE FOR HEAD (TAV16) TAV 16,IN,IN-TH,TH,IN-TH-THE-002,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800119,BLOW SOLENOID VALVE A7166 CYBERMATIC -A7166,PN,PN-EV,EV,PN-EV-BLO-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800120,COOLING SOLENOID VALVE A7166 CYBERMATIC -A7166,PN,PN-EV,EV,PN-EV-COO-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800122,CUTTING SOLENOID VALVE A7166 CYBERMATIC -A7166,PN,PN-EV,EV,PN-EV-CUT-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800123,POST COLLING SOLENOID VALVE CYBERMATIC -A7166,PN,PN-EV,EV,PN-EV-POS-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800124,SAFETI SOLENOID VALVE A7166 CYBERMATIC -A7166,PN,PN-EV,EV,PN-EV-SAF-001,"ELECTROVANNE PNEU [Fonction: 5/2, 3/2] [Filetage] [Tension Commande]"
100800125,TAKE OUT CYLINDER A7166 CYBERMATIC -A7166,HY,HY-VE,VE,HY-VE-CYL-006,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800126,CUTTING CYLINDER A7166 CYBERMATIC -A7166,HY,HY-VE,VE,HY-VE-CYL-007,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800127,DEFLASHING CYLINDER A7166 CYBERMATIC -A7166,HY,HY-VE,VE,HY-VE-CYL-008,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800128,OPEN CLOSE TAKE OUT CYLINDER CYBERMATIC -A7166,HY,HY-VE,VE,HY-VE-CYL-009,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800130,SAFETY SWITCH AUTOMA CYCLE FC1 TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-SAF-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800131,LIMIT SWITCH-RIGHT BLOW PIN UP FC2 TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800132,LIMIT SWITCH-RIGHT CARRIAGE FO FORWARD FC3 TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-002,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800133,LIMIT SWITCH-RIGHT CARRAGE BAC BACK FC4 TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-003,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800134,LIMIT SWITCH-RIGHT CARR BACK Z ZERO SETTING AXIS FC-4-A TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-004,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800135,LIMIT SWITCH-RIGHT MOULD OPEN  FC 5B TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-005,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800136,LIMIT SWITCH-RIGHT MOULD CLAM  BRAKING FC 5B TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-006,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800137,LIMIT SWITCH-RIGHT MOULD CLOSE CLOSED FC 5C TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-007,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800138,RIGHT MOVABLE PLATE SAFETY DEV DEVICE FC 18 TAV 05-UE-D-NO-PREL-SI PF,CS,CS-MS,MS,CS-MS-PLT-001,
100800140,LIMIT SWITCH-RIGHT POSITIONING PISTON UP FC 28 TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-008,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800141,LIMIT SWITCH-EXTRUDER POSITION UP FC 315 TAV 05-UE-D-NO-PREL-SI PF,EE,EE-CP,CP,EE-CP-LIM-009,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800143,FILTER Y-SAS-145/003 TAV 17-9A0041,HY,HY-FI,FI,HY-FI-145-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800146,FILTER Y-9-MPF-400-2-A-G3-A25- Y-9-MPF-400-2-A-G3-A25-H-B-S TAV 17-9A0041,HY,HY-FI,FI,HY-FI-FIL-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800147,FILTER Y-FMP-065/1/B/10/S TAV 17-9A0041,HY,HY-FI,FI,HY-FI-065-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800148,FILTER X-FUI-250/125 10 TAV 17-9A0041,HY,HY-FI,FI,HY-FI-250-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800149,THERMOCOUPLE TC-1-B-1-J-5-A-J- TC-1-B-1-J-5-A-J-B-1 TAV 17-9A0041,IN,IN-TH,TH,IN-TH-THE-003,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800150,COIL Y-COIL-24DG TAV 17-9A0041,CS,CS-GC,GC,CS-GC-017-001,
100800152,LINE FILTER 49.796.4 AUTOMATIC GREASE LUBRICATION MACHINE IB DOUBLE 49.796.4,HY,HY-FI,FI,HY-FI-LIN-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800158,THERMOCOUPLE COMP.ISOLATED 190 32701401190,IN,IN-TH,TH,IN-TH-THE-004,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800160,THERMOCOUPLE COMP.ISO (800L) 32591401390,IN,IN-TH,TH,IN-TH-THE-005,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800161,THERMOCOUPLE K TYPE ISOLATED 32591401490,IN,IN-TH,TH,IN-TH-THE-006,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800162,THERMOCOUPLE- 4.0 DIA 250L (IS 4290G2105A0,IN,IN-TH,TH,IN-TH-250-001,THERMOCOUPLE [Type: K/J/T] [Longueur Gaine] [Raccordement]
100800165,"SSR, 801ZDA489001,90A,4-32VDC",EL,EL-CO,CO,EL-CO-090-001,CONTACTEUR [Intensité/A] BOBINE [Tension/V] [Nbr Contacts NO/NF]
100800166,ROTARY ENCODER E6 A2-CS5C-200P,EE,EE-CP,CP,EE-CP-ROT-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800167,LIN. TRANSDUCER TLH-225,EE,EE-CP,CP,EE-CP-LIN-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800168,LIN. TRANSDUCER TLH-450,EE,EE-CP,CP,EE-CP-LIN-002,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800169,LIN. TRANSDUCER TLH-150,EE,EE-CP,CP,EE-CP-LIN-003,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800171,CT-10 AMP & 10 MM LED & HOLDER,SE,SE-EC,EC,SE-EC-010-001,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
100800172,CT-3 AMP & 10 MM LED & HOLDER,SE,SE-EC,EC,SE-EC-010-002,ECLAIRAGE [Type: LED/Halogènes] [Puissance/W] [Tension/V]
100800179,1.6A FUSE THYRISTOR,EL,EL-FU,FU,EL-FU-FUS-001,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
100800182,GLASS FUSE 500MA/250V,EL,EL-FU,FU,EL-FU-GLA-001,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
100800186,AMPLIFIER CARD 0 811 405 143,EE,EE-CA,CA,EE-CA-AMP-002,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800187,AMPLIFIER CARD VT-SSPA1-508-2X,EE,EE-CA,CA,EE-CA-AMP-003,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800188,BUFFER CARD (ECONIX) RMIC359,EE,EE-CA,CA,EE-CA-BUF-001,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800189,TRANSISTOR O/P CARD SPH RMIC60,EE,EE-CA,CA,EE-CA-TRA-001,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800190,MOV CARD FOR PSU RMIC 601,EE,EE-CA,CA,EE-CA-MOV-001,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800194,"GAFLOW HOSE 3 1/2"" ID X 400L",HY,HY-FL,FL,HY-FL-001-001,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
100800195,FILTER ELEMENT 0240 D010 BN3HC,HY,HY-FI,FI,HY-FI-FIL-002,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800196,SUCTION FILTER SC3-150,HY,HY-FI,FI,HY-FI-SUC-001,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800197,PRESSURE SWITCH XML-A160D2S11,IN,IN-CP,CP,IN-CP-PRE-001,CAPTEUR PRESSION [Plage/Bars] [Signal: 4-20mA/TOR] [Raccordement]
100800199,OIL COOLER GC09X30(MIX THITA),CS,CS-GC,GC,CS-GC-009-001,
100800200,RELAY MODULE 4CH.IMRE 1SS4/24/,EL,EL-RE,RE,EL-RE-004-001,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
100800203,ENCODER CARD FOR SUMO,EE,EE-CA,CA,EE-CA-ENC-001,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800204,ANALOG DRIVER CARD-2CH,IN,IN-VA,VA,IN-VA-ANA-001,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
100800219,DISPLAY HMI CONTROL SP170001 MODEL HITACHI SP170001 6015T REV. 060936 P1N2K7J,ME,ME-RO,RO,ME-RO-DIS-001,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
100800220,DISPLAY HMI CONTROL SP17Q01L6 HITACHI SP17Q01L6ALZZ 7034T REV. 006281. P1A22K7B,ME,ME-RO,RO,ME-RO-DIS-002,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
100800224,HRC FUSE/CR61-150A/UL AC600V/BC100KA/150A MUTSUBISHI VFD/ARA MACHINE,EL,EL-FU,FU,EL-FU-HRC-001,FUSIBLE [Type: AM/GG/UR] [Taille] [Calibre/A] [Tension]
100800225,SEALING RING FOR MG 880 PET BELOW LINE -MG880 SA,ME,ME-JO,JO,ME-JO-SEA-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800229,"MAGIC PR. FILTER X-FUI -250/125 10 UE-L2/D, MAGIC BELOW MACHINE",HY,HY-FI,FI,HY-FI-250-002,FILTRE HYDRAULIQUE [Type: RETOUR/ASP] [Seuil/µm] [Raccordement/Débit]
100800233,MAGIC HYDRALIC PUMP TAV 17-14 PUMP PFG-343/RO,HY,HY-PO,PO,HY-PO-017-001,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
100800235,GLYD RING P. NO.18005000405 PT 0200 630 T46N  WINDSOR EJECTOR CYLINDER,HY,HY-VE,VE,HY-VE-CYL-010,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800236,WEAR RING P. NO.18005000840 GR 6900 400 C-380  WINDSOR EJECTOR CYLINDER,ME,ME-RO,RO,ME-RO-CYL-001,ROULEMENT [Type: BILLES/ROULEAUX] [Série/Réf] Ø[Intérieur]XØ[Extérieur]X[Épaisseur] [Flasque/Jeu]
100800237,SCRAPER P. NO.18005000841 WD 1700 400 N9  WINDSOR EJECTOR CYLINDER,HY,HY-VE,VE,HY-VE-CYL-011,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800238,O RING P. NO.18005000653 56.74x3.53 (2-228)  WINDSOR EJECTOR CYLINDER,ME,ME-JO,JO,ME-JO-056-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800239,STEP SEAL P. NO.18005000839 RS1300 400 T46N  WINDSOR EJECTOR CYLINDER,ME,ME-JO,JO,ME-JO-CYL-002,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800240,SLYD RING P. NO. 18005001199 GP 6500 630 C-380  WINDSOR EJECTOR CYLINDER,HY,HY-VE,VE,HY-VE-CYL-012,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800241,BACK UP RING P.N.4659A2404A0 Ejector Cylinder WINDSOR EJECTOR CYLINDER,HY,HY-VE,VE,HY-VE-CYL-013,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800243,O RING P. NO.18005001088 24.99x3.53 (2-214)  WINDSOR RETRACTION CYLINDER,ME,ME-JO,JO,ME-JO-024-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800244,WEAR RING P. NO.1611421003 GP 650 0360 C-380  WINDSOR RETRACTION CYLINDER,HY,HY-VE,VE,HY-VE-CYL-014,VERIN HYDRAULIQUE [Type] Ø[Piston]/Ø[Tige]X[Course] [Pression Max]
100800250,LUBRICATION PUMP FOR MEGA 3980 F5 LUBRICATION OIL SUPPLY SYST EM MEGA 3980 F 5,HY,HY-PO,PO,HY-PO-005-001,POMPE HYDRAULIQUE [Type:volumetrique/Turbo pompe] [Cylindrée] [Pression Max][type de liquide]
100800253,TOGGLE LINKS FOR MEGA 3980 F5 LAST PL LAST PLATEN WITH HEIGH GEAR MEGA 3980 F 5,ME,ME-EN,EN,ME-EN-PLT-001,ENGRENAGE [Type: DROIT/HELIC] [Module]  [Ø exterieur/Matière][Ø Alésage/Matière]
100800256,PRES RELIEF VALV 3/8*3/8 40TR NUVU CONAIR SHELL & TUBE 40TR CHILLER MOLDING PLANT,HY,HY-FL,FL,HY-FL-003-001,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
100800257,RTD PT100 5MTR*25MM 40TR NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,IN,IN-TE,TE,IN-TE-P10-001,SONDE TEMPERATURE [Type: PT100/TC-K] L=[Longueur] Ø[Tige]
100800258,LEVEL SENSOR TANK ASSY 40TR NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,EE,EE-CP,CP,EE-CP-LEV-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800261,CT-100/5 SKT 40TR CHILLER NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,HY,HY-FL,FL,HY-FL-100-001,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
100800262,CURRENT TRANSDUCER PT1611 40TR NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,HY,HY-FL,FL,HY-FL-CUR-001,FLEXIBLE HYDRAULIQUE [type: DN[Diamètre Ø int ] L=[Longueur] [Embouts]
100800263,VOLTAGE PROTECTION RELAY 40TR NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,EL,EL-RE,RE,EL-RE-VOL-001,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
100800264,WL CD1 SENSOR 220V 40TR NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,EE,EE-CP,CP,EE-CP-CD1-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800265,RELAY CARD FOR 40TR CHILLER NUVU CONAIR SHELL & TUBE MOLDING PLANT CHILLER,EL,EL-RE,RE,EL-RE-REL-003,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
100800266,DISPLAY HMI 40TR CHILLER NU-VU CONAIR SHELL & TUBE PCW-40 MOLDING PLANT CHILLER,EE,EE-HM,HM,EE-HM-DIS-001,ECRAN IHM TACTILE [Taille/Pouces] [Résolution/Type] [Alimentation]
100800270,"MOTOR/PUMP COUPLING WINDSOR MC WITH GASKET, AXE DIA -22.2 MM WINDSOR CODE - 3686.035.0240",ME,ME-JO,JO,ME-JO-022-001,JOINT [Type: SPI/O-RING/LEVRE] [Dimensions: IntXExtXEp] [Matière: NBR/FKM]
100800271,LUBRICATION PRESURE SWITCH WINDSOR 220 CASTLE MC WINDSOR PART NO - B260000004,EE,EE-CP,CP,EE-CP-LUB-001,CAPTEUR [Type: PROXIMITE/PHOTO] [Signal: PNP/NPN/TOR] [Raccordement]
100800273,"ARA-8 CONTROL TRANSFORMER 63VA IN220VAC,OUT16VAC,24VAC& 36VAC FOR ARA-8 MOLDING MACHINE",EL,EL-DI,DI,EL-DI-001-001,"DISJONCTEUR [Type: [VIDE,BAIN D'HUILE,GAZ,MOTEUR,MANETTE]  [Calibre/A] [Tension/Volt][Nbr Pôles] [Fabricant]"
100800274,BOTHFIT BTR 12A-060C PLC FOR MEGA 880 MC PET SEMI AUTO STRETCH BLOW MC,EE,EE-AU,AU,EE-AU-FOR-001,AUTOMATE PLC [Série/Modèle] [Configuration E/S] [Alimentation]
100800275,40TRCHILL CONTACT3RT20261BB40 SIEMENS 24VDC COIL MOUNTED NO+NC TRIPPING RELAY,EL,EL-RE,RE,EL-RE-40T-001,RELAIS [Type: EMBROCHABLE/STAT] BOBINE [Tension/V] [Nbr Contacts]
100800276,40TR CHILL CONTACT 3RT20361N30  SIEMENS MAKE 24VDC COIL WITH MOUNTED NO+NC,CS,CS-GC,GC,CS-GC-40T-001,
100800277,"POWER SUPPLY MAKE:ATOS;TYPE: E-RI-AE-05F 10 A:POWER 24VDC,B:POWER GND,G:PE",EE,EE-CA,CA,EE-CA-POW-001,CARTE ELECTRONIQUE [Fonction/Usage] [Réf Modèle] [Constructeur]
100800285,VDF INOVANCE IS580T 3PH AC 380-480V 57.0A AC DRIVE IS 580T,IN,IN-VA,VA,IN-VA-VDF-001,"VARIATEUR VITESSE [Type: MONO, TRIPHASE] [Puissance/kW]  [Mode: Réseau/Simple][Fabricant]"
100800303,COMPRESSEUR FILTRE A AIR HENGD,PN,PN-CO,CO,PN-CO-COM-001,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
100800304,COMPRESSOR OIL KAISHAN,PN,PN-CO,CO,PN-CO-COM-002,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
100800313,PLC - KS025KAISHAN,PN,PN-CO,CO,PN-CO-000-001,COMPRESSEUR AIR [Puissance/kW] [Débit] [Capacité Cuve/L] [Pression]
